accession,label,group,incorrect_repeats,mean_confidence,predicted_labels,has_location_note
P11597,Secreted,P11597__bd8e45b1aef9315c,2,0.8663504464285714,Membrane;Membrane,True
Q9Y2T1,Cytoplasm,Q9Y2T1__650fec5af4f34003,2,0.8606274801587303,Nucleus;Nucleus,False
Q9BW04,Cytoplasm,Q9BW04__51f00edeb6ef4bf7,2,0.8558471181599763,Nucleus;Nucleus,False
Q9Y2K2,Cytoplasm,Q9Y2K2__5bd55de79e0d4729,2,0.8159072531664164,Nucleus;Nucleus,True
Q9C0B0,Cytoplasm,Q9C0B0__f06d0cd8d61e3f90,2,0.8116219663466999,Nucleus;Nucleus,False
P28290,Cytoplasm,P28290__ea1249ea9fc122f8,2,0.7945374503968256,Nucleus;Nucleus,True
Q8WXI8,Membrane,Q6EIG7__4332a5c8f8f77e85,2,0.7820488008528907,Secreted;Secreted,False
Q9BYP7,Cytoplasm,Q9BYP7__82466a06c4e3e255,2,0.7800967261904763,Nucleus;Nucleus,True
Q8TAX7,Secreted,Q8TAX7__7215fa0efe73e3c3,2,0.7780925847605171,Nucleus;Nucleus,False
Q5TCY1,Cytoplasm,Q5TCY1__f4bd15ec11ba6693,2,0.7601212431760209,Nucleus;Nucleus,False
P30414,Membrane,P30414__351f2608deae1493,2,0.7529988782918471,Nucleus;Nucleus,False
Q9Y4H4,Cytoplasm,Q9Y4H4__d4f18a468317e1fc,2,0.7529348226500758,Nucleus;Nucleus,False
Q04323,Cytoplasm,Q04323__649a229eae921d74,2,0.7439157065435693,Nucleus;Nucleus,False
Q8N7J2,Membrane,Q8N7J2__e3fa3076e765a705,2,0.7260835193452382,Nucleus;Nucleus,True
P08217,Secreted,P00746__89b6935d8d5a9980,2,0.722802012435291,Membrane;Membrane,False
Q9BZ11,Membrane,Q9BZ11__0e1e32ed7db92cc4,2,0.7215142166071906,Secreted;Secreted,False
Q9GZN4,Secreted,P00746__89b6935d8d5a9980,2,0.7143725226924624,Membrane;Membrane,False
Q9Y6H5,Cytoplasm,Q9Y6H5__e56da16b8752e259,2,0.7129836278516727,Nucleus;Nucleus,True
A8K2U0,Secreted,A8K2U0__e302d6ce0e1ee9a5,2,0.7083319241522366,Membrane;Membrane,False
Q8NFH8,Cytoplasm,Q8NFH8__d00e168508f52532,2,0.705014855572216,Nucleus;Nucleus,False
O95867,Membrane,O95867__338f0a8d67b499dd,2,0.7048999085901095,Secreted;Secreted,False
Q9UBP9,Cytoplasm,Q9UBP9__b1f42c3b928fde6a,2,0.7039637445887448,Nucleus;Nucleus,True
Q5H9J7,Cytoplasm,Q5H9J7__1f60d803b082dbbd,2,0.7036310637566214,Nucleus;Nucleus,False
Q9H425,Cytoplasm,Q9H425__d7ef281fa57d44ac,2,0.7009509650111603,Nucleus;Nucleus,False
Q3SXM5,Mitochondrion,Q3SXM5__d39d7107fff5fe6a,2,0.6989779209505773,Membrane;Membrane,False
Q08188,Cytoplasm,O43548__c352a992508efb61,2,0.6960029647693429,Membrane;Membrane,False
Q96CG3,Cytoplasm,Q96CG3__4830480ed5a5cf71,2,0.6897315058167377,Nucleus;Nucleus,True
Q13241,Membrane,Q13241__5a167a0609732e75,2,0.6882928161248475,Secreted;Secreted,False
Q9BQ69,Nucleus,Q9BQ69__090cb87ee8a74cb5,2,0.681160376082251,Mitochondrion;Mitochondrion,True
Q96E14,Nucleus,Q96E14__4fdcf8922d12a997,2,0.6806233670853217,Mitochondrion;Mitochondrion,True
Q9H992,Cytoplasm,Q9H992__13ede07b938652cb,2,0.6795774429563491,Nucleus;Nucleus,False
O75363,Cytoplasm,O75363__438ab62c92bda7df,2,0.6790203936688313,Nucleus;Nucleus,False
P30273,Membrane,P30273__ea929f5e5df52078,2,0.6763915395426425,Secreted;Secreted,False
Q6XE24,Cytoplasm,Q6XE24__47b49c4892fd20f0,2,0.6753889773421023,Nucleus;Nucleus,False
Q9H4M3,Nucleus,Q9H4M3__a4baedd67a28a81d,2,0.6706864531321948,Secreted;Secreted,False
P26842,Membrane,P26842__7faacb066fc2b75d,2,0.6701304458819217,Secreted;Secreted,False
Q9Y2I9,Membrane,Q9Y2I9__34486dd14429d088,2,0.6645011948602002,Nucleus;Nucleus,False
P60827,Secreted,P60827__8e232b1e5680f055,2,0.6594305432107139,Mitochondrion;Mitochondrion,False
Q96JS3,Nucleus,Q96JS3__b64f124bac81776b,2,0.6575133308531746,Cytoplasm;Cytoplasm,False
O14654,Membrane,O14654__d2d6aca1f8ca4ced,2,0.6560965401785714,Nucleus;Nucleus,False
P10451,Secreted,P10451__7b95e3678367f3bf,2,0.6494251950306638,Nucleus;Nucleus,False
P0DPB3,Cytoplasm,P0DPB3__6f8b145425aa8901,2,0.648413814917721,Nucleus;Nucleus,False
Q96PC2,Cytoplasm,Q96PC2__1e701f49d8ee0a98,2,0.6467731412842088,Nucleus;Nucleus,False
Q9UBL9,Membrane,Q9UBL9__8d81dcbb879116c8,2,0.6445449190566377,Mitochondrion;Mitochondrion,True
Q9H788,Cytoplasm,Q9H788__522b884b7829c895,2,0.642789968229378,Nucleus;Nucleus,True
Q9BY66,Nucleus,P41229__2e18349d95d39c5d,2,0.6393492683531745,Cytoplasm;Cytoplasm,False
D3DTV9,Nucleus,D3DTV9__70f2af4926e90995,2,0.6371901668947045,Mitochondrion;Mitochondrion,False
P63272,Nucleus,P63272__e5ae1e7a2037908f,2,0.6368199834020147,Secreted;Secreted,False
Q9UEW3,Membrane,Q9UEW3__bcf51406980c5262,2,0.6356336263562826,Nucleus;Nucleus,False
Q9HBE4,Secreted,Q9HBE4__6207e57b8d77aca4,2,0.6338297168644389,Nucleus;Nucleus,False
Q7L7X3,Cytoplasm,Q7L7X3__3d64f6b2108bdd70,2,0.6331473214285714,Nucleus;Nucleus,False
P54826,Membrane,P54826__0ba36c3a46153403,2,0.6319101199491846,Secreted;Secreted,False
Q96GA3,Cytoplasm,Q96GA3__77f6d045203ba0af,2,0.630947730654762,Nucleus;Nucleus,True
Q5T7N3,Cytoplasm,Q5T7N3__0739b6966d803dce,2,0.6202331018583169,Nucleus;Nucleus,False
P98088,Secreted,P98088__4c1e3207815a013e,2,0.6185866647835003,Membrane;Membrane,False
Q9Y3D2,Mitochondrion,Q9Y3D2__6ec5f2922bc88e1b,2,0.6166752920027276,Secreted;Secreted,False
P13637,Membrane,P13637__28886d316e014e26,2,0.6164745898668896,Cytoplasm;Cytoplasm,False
Q6UXH8,Secreted,Q6UXH8__c738c4f6263e3025,2,0.6156605648073372,Nucleus;Nucleus,False
Q8IZP1,Membrane,Q8IZP1__61cc78e7b3950926,2,0.6130262521987166,Nucleus;Nucleus,True
Q13536,Nucleus,Q13536__3a16e5ad805ff7a3,2,0.612000233924062,Secreted;Secreted,True
Q96K76,Cytoplasm,Q96K76__bf37e091c497bfce,2,0.6116024925595238,Nucleus;Nucleus,False
Q5KSL6,Membrane,Q5KSL6__405d91ca6c9ef904,2,0.6104151721710736,Cytoplasm;Nucleus,False
Q9Y2X0,Nucleus,Q9Y2X0__ea815bf7030a3a79,2,0.6005362880486851,Membrane;Membrane,False
Q8IYR6,Membrane,Q8IYR6__c1422774c02bfbfb,2,0.5978740660381285,Secreted;Secreted,False
Q7Z6J8,Cytoplasm,Q7Z6J8__d86f31376041e9bd,2,0.596508824235883,Membrane;Membrane,False
O94804,Membrane,O94804__9283e9c3163756a2,2,0.5952740293560607,Nucleus;Nucleus,False
Q8N5N4,Cytoplasm,Q8N5N4__c32daba1fc56a8b6,2,0.5941015135881629,Nucleus;Nucleus,False
Q9UBG3,Cytoplasm,Q9UBG3__479f1aecb40c2336,2,0.5939232836826001,Nucleus;Nucleus,True
Q969U6,Cytoplasm,Q969U6__186ba4a1e791f110,2,0.5914274292554855,Membrane;Membrane,False
Q9H8Y5,Cytoplasm,Q9H8Y5__05880331e5f61667,2,0.5902173239087303,Nucleus;Nucleus,True
P54284,Cytoplasm,P54284__b07e66ce76fa109a,2,0.5865719133297259,Nucleus;Nucleus,False
Q8IUW5,Membrane,Q8IUW5__b95c6c90b61d7776,2,0.5857667506105007,Nucleus;Nucleus,False
O15235,Mitochondrion,O15235__b41639f3703a7d41,2,0.5843321608946608,Secreted;Secreted,False
Q9H2E6,Membrane,Q9H2E6__73456a93d9c91b01,2,0.5795340401785716,Nucleus;Nucleus,False
P02671,Secreted,P02671__362bf6ebe743cfe8,2,0.5745583626443,Nucleus;Nucleus,False
Q96LB9,Secreted,Q96LB8__524cae95ca152ae1,2,0.5715392355040791,Membrane;Membrane,False
P32322,Mitochondrion,P32322__79ab6363b181f29c,2,0.5692929032772784,Membrane;Membrane,False
O43583,Cytoplasm,O43583__04cd419d229d9fc0,2,0.566485265500606,Nucleus;Nucleus,False
Q16543,Cytoplasm,Q16543__e0a1e3bbc5ec7fb1,2,0.565702595608528,Nucleus;Nucleus,False
Q7Z569,Cytoplasm,Q7Z569__6732e187f06abeec,2,0.5653397817460318,Nucleus;Nucleus,False
Q5VYS8,Cytoplasm,Q5VYS8__c86266cbe482b3e1,2,0.5627047540133479,Nucleus;Nucleus,True
P01023,Secreted,A8K2U0__e302d6ce0e1ee9a5,2,0.5618751691017316,Membrane;Membrane,False
P11150,Secreted,P11150__70ef1ae8ca11b378,2,0.560299658895083,Membrane;Membrane,False
P41229,Nucleus,P41229__2e18349d95d39c5d,2,0.5594618055555556,Cytoplasm;Cytoplasm,False
O43653,Membrane,O43653__252effdba5d5a0e6,2,0.5578199034928881,Secreted;Secreted,False
Q9BQ83,Nucleus,Q9BQ83__9a8b8d185d4bd22e,2,0.5577610197537071,Mitochondrion;Mitochondrion,False
Q9BTE3,Nucleus,Q9BTE3__c3a8e8da61289200,2,0.5572770454729095,Cytoplasm;Membrane,True
Q9H1D9,Nucleus,Q9H1D9__fb08d1daace8f376,2,0.5560453869047619,Cytoplasm;Cytoplasm,False
Q9BQN1,Cytoplasm,Q9BQN1__b8fc88486b12f43f,2,0.5545246247681983,Nucleus;Nucleus,True
Q5K131,Cytoplasm,Q5K131__5d20e72db5256018,2,0.5544318745490622,Membrane;Membrane,True
Q9UPX6,Membrane,Q9UPX6__8523aad1db5821ca,2,0.551815166170635,Nucleus;Nucleus,False
Q9GZP4,Cytoplasm,Q9GZP4__6b46783b9d0999f3,2,0.5515317788193197,Nucleus;Nucleus,False
P51575,Membrane,P51575__47a7ae3585219f3b,2,0.5514606053668554,Mitochondrion;Mitochondrion,True
P61313,Cytoplasm,P61313__d09b86592c128c04,2,0.5486078266351704,Mitochondrion;Mitochondrion,False
Q9BV86,Nucleus,Q9BV86__f54299310ebc450d,2,0.5483812800793437,Cytoplasm;Cytoplasm,True
Q9NPY3,Membrane,Q9NPY3__fac2de51fa92d97a,2,0.5471960133872025,Secreted;Secreted,False
Q9UPQ3,Cytoplasm,Q96P47__730ecd6fed3c96b7,2,0.5465479290674603,Nucleus;Nucleus,True
Q9NRD1,Cytoplasm,Q9H4M3__a4baedd67a28a81d,2,0.5445134091394552,Secreted;Secreted,False
P86397,Mitochondrion,P86397__5a9e1b2c2ca4a19f,2,0.5422635957792209,Membrane;Membrane,False
Q6IB77,Mitochondrion,Q6IB77__28c763fb9ad66207,2,0.5417705377171923,Secreted;Secreted,False
O43525,Membrane,O43525__8af289bc930940c4,2,0.5412702392900356,Nucleus;Nucleus,False
Q5T653,Mitochondrion,Q5T653__bc87ed01f43457fe,2,0.5406830678615946,Secreted;Secreted,False
Q8NEL9,Cytoplasm,Q8NEL9__cb2b4600f53f48a1,2,0.5389630551739927,Nucleus;Nucleus,False
Q15147,Membrane,Q15147__c153ead9ae509100,2,0.535155394701665,Nucleus;Nucleus,False
Q13191,Cytoplasm,Q13191__f3dc4d33671931ee,2,0.5334348080647422,Nucleus;Nucleus,True
P35908,Cytoplasm,P13647__d36394100dfde016,2,0.5317599826388888,Nucleus;Nucleus,False
Q6P4Q7,Membrane,Q6P4Q7__7443acd63c1787cb,2,0.5314685206286768,Mitochondrion;Mitochondrion,False
Q9UGL1,Nucleus,P41229__2e18349d95d39c5d,2,0.531449962797619,Cytoplasm;Cytoplasm,False
Q14D04,Membrane,Q14D04__290755727766d061,2,0.5310939959359774,Cytoplasm;Cytoplasm,False
