seed,fold,block,permutation,macro_f1_decrease,log_loss_increase
20260918,0,length,0,0.032795424916416294,0.03677132850600251
20260918,0,length,1,0.03663945654800027,0.04468717103040876
20260918,0,length,2,0.028996943853004886,0.03889058449588545
20260918,0,length,3,0.01732592486826956,0.03551295872642213
20260918,0,length,4,0.02419486020088546,0.03276742752361683
20260918,0,global_composition_physics,0,0.28655640485408534,0.6350170281202557
20260918,0,global_composition_physics,1,0.2771664991392316,0.5899726514433471
20260918,0,global_composition_physics,2,0.2762110951248824,0.5792079583022599
20260918,0,global_composition_physics,3,0.2682066599851503,0.5539025143783979
20260918,0,global_composition_physics,4,0.28238835433306225,0.5940642655088587
20260918,0,n_terminal,0,0.1401548401237005,0.2097519367866566
20260918,0,n_terminal,1,0.16747632513966493,0.2128287034668378
20260918,0,n_terminal,2,0.16742316840701021,0.22103906975674825
20260918,0,n_terminal,3,0.18873849107585472,0.22954425879801132
20260918,0,n_terminal,4,0.15092344687371384,0.2260856841594744
20260918,0,c_terminal,0,0.004876260149331957,0.013380275206667402
20260918,0,c_terminal,1,0.023486189414283154,0.02548851428424692
20260918,0,c_terminal,2,-0.004783854515853614,0.014088883705680955
20260918,0,c_terminal,3,-0.0017077118383936885,0.016150473584086056
20260918,0,c_terminal,4,0.002457183386941675,0.015748141357115886
20260918,0,dipeptides,0,0.0,0.0
20260918,0,dipeptides,1,0.0,0.0
20260918,0,dipeptides,2,0.0,0.0
20260918,0,dipeptides,3,0.0,0.0
20260918,0,dipeptides,4,0.0,0.0
20260918,1,length,0,0.036640342019868655,0.04650202313880891
20260918,1,length,1,0.05118655875943512,0.03707612787048298
20260918,1,length,2,0.052037890967921,0.049038151786678696
20260918,1,length,3,0.05840646034977315,0.04565075463609736
20260918,1,length,4,0.031731048552415264,0.04186376922777724
20260918,1,global_composition_physics,0,0.25260349757011336,0.5293273796696178
20260918,1,global_composition_physics,1,0.24463572452112936,0.502198033974377
20260918,1,global_composition_physics,2,0.236815264474812,0.5089081931101449
20260918,1,global_composition_physics,3,0.2845503189719182,0.5820513853710794
20260918,1,global_composition_physics,4,0.28480028586310496,0.5288099721668413
20260918,1,n_terminal,0,0.12394648088775218,0.2104065711138272
20260918,1,n_terminal,1,0.1468917110208251,0.2285847029668402
20260918,1,n_terminal,2,0.13632773358129424,0.1712634206320831
20260918,1,n_terminal,3,0.14494099423879414,0.2111537197603386
20260918,1,n_terminal,4,0.1713675627278669,0.2313348317863968
20260918,1,c_terminal,0,0.004779687578198244,0.014043648786658647
20260918,1,c_terminal,1,0.00441247592919114,0.011598422606239334
20260918,1,c_terminal,2,0.0033372112310314783,0.011529923882755089
20260918,1,c_terminal,3,0.008025591449045466,0.011196844437419085
20260918,1,c_terminal,4,0.0078025052858350374,0.012923193841265723
20260918,1,dipeptides,0,0.0,0.0
20260918,1,dipeptides,1,0.0,0.0
20260918,1,dipeptides,2,0.0,0.0
20260918,1,dipeptides,3,0.0,0.0
20260918,1,dipeptides,4,0.0,0.0
20260918,2,length,0,0.020362884095186606,0.041992416894050644
20260918,2,length,1,0.05583873369796366,0.05040544238226885
20260918,2,length,2,0.03451355055533878,0.04488507393784236
20260918,2,length,3,0.043996823446010414,0.04428309620354698
20260918,2,length,4,0.029130503409935837,0.04371294665170833
20260918,2,global_composition_physics,0,0.3021507247494512,0.5865082812903732
20260918,2,global_composition_physics,1,0.28100288265975765,0.5441909715275006
20260918,2,global_composition_physics,2,0.29333907569301215,0.5516827166644496
20260918,2,global_composition_physics,3,0.28079940252467595,0.5315724980652821
20260918,2,global_composition_physics,4,0.2727785519354927,0.5720701395456183
20260918,2,n_terminal,0,0.13815287777041257,0.2107834719590831
20260918,2,n_terminal,1,0.11471296491021915,0.20226041875278167
20260918,2,n_terminal,2,0.12556949591572714,0.19632189402788458
20260918,2,n_terminal,3,0.11083320187567075,0.19719460910220565
20260918,2,n_terminal,4,0.1293207660762663,0.19309112533011086
20260918,2,c_terminal,0,0.005526554610856715,0.013621304179673221
20260918,2,c_terminal,1,0.013760773471792276,0.012421518528537123
20260918,2,c_terminal,2,0.021499702720774838,0.01783302466913894
20260918,2,c_terminal,3,0.01406402202613799,0.01397872752896323
20260918,2,c_terminal,4,0.004855888948655074,0.015419421884827256
20260918,2,dipeptides,0,0.0,0.0
20260918,2,dipeptides,1,0.0,0.0
