analysis,method,macro_f1,weighted_f1,balanced_accuracy,log_loss,multiclass_brier,macro_auroc,macro_average_precision,top_label_ece_10_bins
primary,calibrated,0.6093783710800805,0.6472157957991015,0.6164239015471397,0.9088654750980627,0.4742967243642087,0.8801414256936109,0.6547878365367051,0.012014422640769622
primary,dummy,0.11199338296112489,0.21774704269006762,0.2,1.4714187158792758,0.7419833647273726,0.49842764352376234,0.19954383251221353,5.501748456815392e-08
primary,length,0.1552681769673741,0.24164097853741148,0.22488329891925227,1.4215346047810689,0.7267431468105168,0.6060280207254903,0.25231336414851624,0.012679177703537905
primary,lr_full_0.01,0.5156160858397442,0.5915337405531838,0.504701074337886,1.0414112750102342,0.5196413119545933,0.834817684940853,0.5582832575948731,0.05065144642126361
primary,lr_full_0.1,0.49579859538390786,0.5664104580113569,0.49095691580015355,1.6250382593678758,0.6437767577807545,0.7990564292161586,0.5099835886772139,0.2314516234101731
primary,lr_full_1,0.4798302178753307,0.5477268845888557,0.4768633784913446,3.1861372419239777,0.7700858870194593,0.7744148998543213,0.47774662700712706,0.34475207848839234
primary,lr_global_0.01,0.46205529904778986,0.5507013481094638,0.456729366804497,1.040552494294023,0.5233758143483817,0.8415636673926823,0.5530074598260984,0.06508573989696384
primary,lr_global_0.1,0.518649514480521,0.5913212507263027,0.5092866237288302,1.005150176409638,0.5058189233161,0.8449592977349223,0.5685561751346065,0.03376222419983658
primary,lr_global_1,0.5304709034912839,0.5972866786676961,0.5229893453182056,1.012587448175327,0.506411546526716,0.8443764559944581,0.5722867478516811,0.03180249169202059
primary,lr_terminal_0.01,0.5776532254479543,0.621839290203389,0.5604977523455421,0.9336888515936004,0.4836728809823328,0.8749696140309261,0.6336454778522108,0.07404074368002145
primary,lr_terminal_0.1,0.6006462169489779,0.6379991901347822,0.5940422266282978,0.8963509735632024,0.4711419474104836,0.8788448773018424,0.6441540210938699,0.032257308389559515
primary,lr_terminal_1,0.5957477350848884,0.6329499279051324,0.5932467968020518,0.9348202618333034,0.4836692381810566,0.8766202178892286,0.6364130354903297,0.0749354695819441
primary,reference,0.5461545407159883,0.6048595393313105,0.5475318748575894,1.1675990743789166,0.5885430505279459,0.8422453619766319,0.5673799888241653,0.22267879819020142
primary,rf_expanded,0.5833985185564152,0.6358757348641981,0.5832422307163103,1.0577564649105629,0.5345705000577748,0.8592562269548573,0.6089258348135924,0.17345623474296387
primary,rf_global,0.5755196823448709,0.628626991196946,0.583909747513235,1.0374868499549565,0.5241610202619755,0.8556852809224595,0.5998964092445809,0.11318814889747375
primary,rf_terminal,0.6165752532522006,0.6528193701568932,0.6272958667377522,0.9825699726184072,0.5026291998414549,0.879692293290112,0.6598259204295631,0.14235611509241564
primary,selected,0.6093783710800805,0.6472157957991015,0.6164239015471397,0.9683693060373821,0.4990017194044286,0.8748011898905885,0.6381584824380376,0.1108816488667741
study-groups,calibrated,0.5709715324216903,0.6230282777447043,0.5695916296388387,0.980749706989776,0.5033566079237598,0.856751997447146,0.5795818392397429,0.029505849606080096
study-groups,dummy,0.11199338296112489,0.21774704269006762,0.2,1.472367686905144,0.7421745816596003,0.49004902233475517,0.19768255450347708,3.252961558020129e-05
study-groups,length,0.15625684130937328,0.24146114036431324,0.22109243721487978,1.432494501149545,0.7292177878865096,0.6011554335200779,0.25407222398222096,0.011435962600295977
study-groups,lr_full_0.01,0.47903195319794845,0.5727631815630624,0.47237336909905087,1.1242171292142658,0.5384848308324313,0.8158682940717945,0.5214100392980991,0.06812793124243337
study-groups,lr_full_0.1,0.47002691757375026,0.5548253590460441,0.4650796912680355,1.806059871960352,0.6575900485144258,0.782190306761571,0.48426723762224266,0.24519494676108677
study-groups,lr_full_1,0.46731041790306166,0.548883006132139,0.46335967885113394,3.4946789099970035,0.7750965810170731,0.7605898815421268,0.4590547674761928,0.3464632419241661
study-groups,lr_global_0.01,0.4217611190060982,0.5323334607460957,0.4276024804160368,1.088218452564478,0.5406064340913258,0.8209423950338545,0.5169522943213767,0.05482986037181047
study-groups,lr_global_0.1,0.48379364224014754,0.5718939068441037,0.47825493842453126,1.103535666797483,0.5372634080150751,0.8189986318224218,0.5141678274821299,0.03552977974179493
study-groups,lr_global_1,0.48898123776502045,0.5759706734807031,0.48311676801993986,1.1464141772807306,0.5446197595143875,0.8150028628013724,0.5090427076593624,0.051198088787326596
study-groups,lr_terminal_0.01,0.5248594640415322,0.5915277033719919,0.5147329020846513,0.9845551818914393,0.5034491916868544,0.8564841708482536,0.5818215206230686,0.0505943521803206
study-groups,lr_terminal_0.1,0.5686548468648726,0.6205896903872543,0.5645434636239882,1.0073501580593358,0.5079013402719794,0.8552626079439551,0.5760432349458492,0.05412616487974359
study-groups,lr_terminal_1,0.5559707020581497,0.6094785916995682,0.5587465247219106,1.1045196107922022,0.5309169431224913,0.8495026452672079,0.5607896911028104,0.09961189289822084
study-groups,reference,0.4812759004315573,0.5736585424710581,0.4843411128362378,1.197240815536388,0.6015000498463782,0.8107274706778546,0.5162809886636541,0.1937119155459975
study-groups,rf_expanded,0.5073081742539491,0.5892219275234563,0.5068176520524548,1.114380896862823,0.5600000345316651,0.8270591686570972,0.5245190981035408,0.12300200136415851
study-groups,rf_global,0.5111009191142899,0.5844219937175676,0.5135232793619255,1.1132927706847477,0.5583033424693916,0.8200957522673843,0.5181676954505482,0.06672747576752013
study-groups,rf_terminal,0.5730572536246296,0.6223815722986739,0.581285671063387,1.0317244510219568,0.5256359608739418,0.8572026294023403,0.5948098633046225,0.10701522893729384
study-groups,selected,0.5709715324216903,0.6230282777447043,0.5695916296388387,0.9819579489069988,0.5078945324566928,0.8516869697721494,0.5817029814969041,0.034766771390075564
note-free,calibrated,0.6234266339527186,0.6518040418526446,0.6359034103156789,0.912331398129222,0.47379159113585756,0.8831619248458317,0.6616615055362582,0.015939932603212824
note-free,dummy,0.10916496945010183,0.20487543286153567,0.2,1.4937753571443608,0.7508473977826424,0.49874361002443485,0.19962847167616157,0.0
note-free,length,0.17213006479545212,0.2414611071930939,0.23688820230059893,1.4365399332814186,0.7323895316362851,0.6142882780081955,0.26434813317693007,0.007897744858575554
note-free,lr_full_0.01,0.5122942972826603,0.5903889365635269,0.5054498264202893,1.0314130759283977,0.5218041984825205,0.8401328869756955,0.5603025344910537,0.034957179934338466
note-free,lr_full_0.1,0.49287447584488425,0.5577944501904366,0.4891940630701894,1.5670396500943349,0.6468246922833576,0.799624760369942,0.5085772988701663,0.22362420575067152
note-free,lr_full_1,0.47609794750555334,0.5396522238704199,0.4743720351575508,2.8190883176358157,0.7687118534089341,0.7745824266481961,0.47615911938115046,0.33327847689433676
note-free,lr_global_0.01,0.4509236782198534,0.5332197112806856,0.449998046771322,1.054112556254669,0.5298621708228155,0.8435434010155246,0.5607580463958995,0.06919785302162952
note-free,lr_global_0.1,0.5134928892506606,0.5814246754894251,0.5045056290340508,1.0143016289540905,0.5119630239416771,0.8457715148371527,0.5693109527682781,0.022389212675257775
note-free,lr_global_1,0.5240239952432841,0.5910477278338577,0.5147668137004454,1.0287649811784334,0.5149330213755428,0.844182507155087,0.5725859898067932,0.03602986589378418
note-free,lr_terminal_0.01,0.5948387820136973,0.6333829553986625,0.5795685538741824,0.9277527225825757,0.479244618337835,0.884187690901458,0.6549722302239932,0.09452532788045072
note-free,lr_terminal_0.1,0.6148349707581378,0.6500550242470268,0.610775858988534,0.8750315381500696,0.458632065522849,0.8879979393452093,0.6698837407585874,0.030609734654323408
note-free,lr_terminal_1,0.6091508295931991,0.6460485399661573,0.6068681885363937,0.943951498875017,0.4798010004702574,0.8831055945339884,0.6582324570663213,0.08771137601750059
note-free,reference,0.5483131441995762,0.6064601162092405,0.5455792138930629,1.1799017844116828,0.5941237420494332,0.844771219017112,0.5729930230599316,0.22953837572567878
note-free,rf_expanded,0.5572188110650595,0.6130766711731409,0.5571658956107898,1.0720770810806208,0.540285260069604,0.8627065698033579,0.6130766332807156,0.1583740918242297
note-free,rf_global,0.5731149346100016,0.6222073910423191,0.5804977287431209,1.0488765976058683,0.5293248489786155,0.8554471547122813,0.6003832363055804,0.10982342495350049
