accession,label,group,has_location_note,incorrect_repeats,mean_confidence,predicted_labels
P30414,Membrane,P30414__351f2608deae1493,False,2,0.9863699154402497,Nucleus;Nucleus
P10451,Secreted,P10451__7b95e3678367f3bf,False,2,0.9841016993440834,Nucleus;Nucleus
Q9BW04,Cytoplasm,Q9BW04__51f00edeb6ef4bf7,False,2,0.9825696227983999,Nucleus;Nucleus
Q9NYJ1,Mitochondrion,Q9NYJ1__cc57e53103c8c3f7,False,2,0.9810198419654119,Nucleus;Nucleus
Q6XE24,Cytoplasm,Q6XE24__47b49c4892fd20f0,False,2,0.9790718699868843,Nucleus;Nucleus
Q9Y4H4,Cytoplasm,Q9Y4H4__d4f18a468317e1fc,False,2,0.9781357278061001,Nucleus;Nucleus
P04196,Secreted,P04196__b7d948bfc73b642e,False,2,0.9722520900319275,Nucleus;Nucleus
P0DPB3,Cytoplasm,P0DPB3__6f8b145425aa8901,False,2,0.9650964014910448,Nucleus;Nucleus
P08217,Secreted,P00746__89b6935d8d5a9980,False,2,0.9543434518672951,Membrane;Membrane
P28290,Cytoplasm,P28290__ea1249ea9fc122f8,True,2,0.9542322777824327,Nucleus;Nucleus
O75363,Cytoplasm,O75363__438ab62c92bda7df,False,2,0.9438334066090955,Nucleus;Nucleus
Q9GZN4,Secreted,P00746__89b6935d8d5a9980,False,2,0.9403852033283844,Membrane;Membrane
Q9Y2T1,Cytoplasm,Q9Y2T1__650fec5af4f34003,False,2,0.9355671477864866,Nucleus;Nucleus
Q02817,Secreted,P98088__4c1e3207815a013e,True,2,0.935523265021889,Membrane;Membrane
Q5H9J7,Cytoplasm,Q5H9J7__1f60d803b082dbbd,False,2,0.9345707872639417,Nucleus;Nucleus
Q9BYP7,Cytoplasm,Q9BYP7__82466a06c4e3e255,True,2,0.9231454821721179,Nucleus;Nucleus
Q86VQ3,Cytoplasm,Q86VQ3__27717d69ca5ed358,True,2,0.921649436715157,Nucleus;Nucleus
Q9H4M3,Nucleus,Q9H4M3__a4baedd67a28a81d,False,2,0.9207637543375167,Secreted;Secreted
Q9BZ11,Membrane,Q9BZ11__0e1e32ed7db92cc4,False,2,0.9172786837872733,Secreted;Secreted
P04180,Secreted,P04180__977372402da89ea6,True,2,0.9160912832343857,Membrane;Membrane
P98088,Secreted,P98088__4c1e3207815a013e,False,2,0.9123725679158439,Membrane;Membrane
P05060,Secreted,P05060__56dced04f2fb041f,True,2,0.9103374110901644,Nucleus;Nucleus
Q9Y2K2,Cytoplasm,Q9Y2K2__5bd55de79e0d4729,True,2,0.903180504527612,Nucleus;Nucleus
Q08188,Cytoplasm,O43548__c352a992508efb61,False,2,0.8975804173934597,Membrane;Membrane
Q13191,Cytoplasm,Q13191__f3dc4d33671931ee,True,2,0.8970255238942373,Nucleus;Nucleus
Q5K131,Cytoplasm,Q5K131__5d20e72db5256018,True,2,0.8931853110771176,Membrane;Membrane
P54284,Cytoplasm,P54284__b07e66ce76fa109a,False,2,0.8924986938024548,Nucleus;Nucleus
